timestamp,participant_full_id,user_text,ai_text,AI_Strategy,stress_score,EDA,PR,SkinTemp,ACCEL,ACT_CLASS,ACT_COUNT,ACT_INT,MET,PRV,RESP,SLEEP,STEPS,WEAR,BODY_POS_LEFT,BODY_POS_RIGHT,ACTI_X,ACTI_Y,ACTI_Z,ACTIG_X,ACTIG_Y,ACTIG_Z
2026-07-27T12:00:00,2753-1-1-0000,My phone's down to 40 percent and I forgot my charger cable in my bag under the seat.,"That's an annoying, very practical problem to land on top of everything else. At least it's one you can actually solve, unlike most of what's on your mind tonight.",Practical Awareness,4,"[0.07, 0.09, 0.12]","[90.0, 91.0, 94.0]","[34.5, 34.52, 34.53]","[0.014, 0.019, 0.016]","['still', 'still', 'still']","[34.0, 37.0, 35.0]","['sedentary', 'sedentary', 'sedentary']","[1.49, 2.24, 1.7]","[49.0, 47.0, 45.0]","[12.0, 12.0, 13.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[114.0, 209.0, 97.0]","[165.0, 222.0, 115.0]","[55.0, 108.0, 40.0]","[145.0, 614.0, 88.0]","[93.0, 388.0, 47.0]","[128.0, 396.0, 60.0]"
2026-07-27T12:03:00,2753-1-1-0000,"Exactly, if I keep checking messages it'll die before I even reach the city.","It's a fair trade-off to think through, staying in touch now versus having battery for when you actually land. Either choice is reasonable.",Shared Experience,4,"[0.08, 0.1, 0.12]","[92.0, 93.0, 95.0]","[34.52, 34.52, 34.51]","[0.015, 0.02, 0.017]","['still', 'still', 'still']","[33.0, 36.0, 34.0]","['sedentary', 'sedentary', 'sedentary']","[1.49, 1.79, 1.75]","[48.0, 46.0, 44.0]","[13.0, 13.0, 14.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[116.0, 106.0, 17.0]","[127.0, 169.0, 81.0]","[36.0, 82.0, 61.0]","[111.0, 491.0, 403.0]","[69.0, 714.0, 1005.0]","[118.0, 851.0, 697.0]"
2026-07-27T12:06:00,2753-1-1-0000,So now I can't even message my roommate to confirm what time to arrive.,One more small thing out of your control tonight. At least you'll have a good story about the great charger disaster once you get there.,Gentle Humor,3,"[0.11, 0.1, 0.1]","[91.0, 90.0, 93.0]","[34.49, 34.49, 34.51]","[0.012, 0.015, 0.013]","['still', 'still', 'still']","[30.0, 32.0, 31.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[50.0, 48.0, 46.0]","[13.0, 15.0, 16.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 0.0]","[2.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 15.0]","[24.0, 0.0, 0.0]","[0.0, 0.0, 14.0]"
2026-07-27T12:09:00,2753-1-1-0000,🙂 pretty much stuck with my own thoughts for the next few hours.,"I'm right here with you for those hours, even if it's just quietly. You don't have to fill the silence with anything.",Companion Presence,3,"[0.1, 0.09, 0.09]","[92.0, 91.0, 94.0]","[34.54, 34.6, 34.6]","[0.011, 0.014, 0.012]","['still', 'still', 'still']","[29.0, 31.0, 30.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 1.7, 0.95]","[49.0, 47.0, 45.0]","[12.0, 14.0, 15.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 13.0, 0.0]","[2.0, 46.0, 0.0]","[2.0, 24.0, 0.0]","[0.0, 260.0, 0.0]","[16.0, 671.0, 0.0]","[10.0, 454.0, 0.0]"
2026-07-27T12:12:00,2753-1-1-0000,"This coach isn't too crowded at least, just a handful of people.","That's something, a bit of space and quiet can make a long night feel more manageable. What's it like around you right now?",Curiosity,3,"[0.09, 0.09, 0.08]","[90.0, 90.0, 92.0]","[34.6, 34.59, 34.58]","[0.01, 0.013, 0.011]","['still', 'still', 'still']","[28.0, 30.0, 29.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[51.0, 49.0, 47.0]","[13.0, 15.0, 15.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 0.0]","[0.0, 0.0, 7.0]","[0.0, 0.0, 4.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2026-07-27T12:15:00,2753-1-1-0000,"Not really, though a family boarded at the last stop and keep shuffling around near me.","New arrivals settling in can be a small distraction from your own thoughts, sometimes that's not the worst thing. What are they like?",Perspective Taking,2,"[0.08, 0.07, 0.07]","[90.0, 91.0, 93.0]","[34.58, 34.57, 34.57]","[0.009, 0.012, 0.01]","['still', 'still', 'still']","[27.0, 29.0, 28.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[52.0, 50.0, 48.0]","[11.0, 12.0, 12.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 0.0]","[0.0, 0.0, 4.0]","[0.0, 0.0, 5.0]","[0.0, 0.0, 7.0]","[0.0, 0.0, 188.0]","[0.0, 0.0, 64.0]"
2026-07-27T12:18:00,2753-1-1-0000,"Wait, there's a small dog with them. It just settled down right by my feet.",That's a nice little surprise for a night like this. Sometimes the smallest unexpected company can shift the whole mood of a moment.,Positive Reflection,2,"[0.07, 0.07, 0.06]","[91.0, 90.0, 92.0]","[34.58, 34.62, 34.68]","[0.008, 0.011, 0.009]","['still', 'still', 'still']","[26.0, 28.0, 27.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[53.0, 51.0, 49.0]","[12.0, 12.0, 11.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[4.0, 0.0, 0.0]","[16.0, 4.0, 0.0]","[10.0, 3.0, 2.0]","[372.0, 0.0, 0.0]","[799.0, 35.0, 21.0]","[233.0, 231.0, 44.0]"
2026-07-27T12:21:00,2753-1-1-0000,It keeps looking up at everyone like it's checking on the whole compartment.,"That's such a sweet thing to notice, a little dog quietly keeping watch over a coach full of strangers. It's the kind of detail that sticks with you.",Positive Emotion Amplification,2,"[0.06, 0.06, 0.06]","[90.0, 90.0, 91.0]","[34.71, 34.72, 34.74]","[0.008, 0.01, 0.009]","['still', 'still', 'still']","[25.0, 27.0, 26.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 1.17]","[54.0, 52.0, 50.0]","[11.0, 11.0, 12.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 15.0]","[0.0, 8.0, 31.0]","[2.0, 7.0, 25.0]","[0.0, 73.0, 439.0]","[0.0, 40.0, 676.0]","[25.0, 7.0, 1018.0]"
2026-07-27T12:24:00,2753-1-1-0000,It just put its head on my shoe and sighed like it's completely unbothered by any of this.,There's something grounding about being near a creature that's just completely at ease. Maybe a bit of that calm rubs off on you too.,Strength Spotting,1,"[0.06, 0.05, 0.05]","[86.0, 84.0, 82.0]","[34.75, 34.81, 34.88]","[0.007, 0.009, 0.008]","['still', 'still', 'still']","[24.0, 26.0, 25.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[55.0, 53.0, 51.0]","[13.0, 14.0, 15.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[69.0, 0.0, 0.0]"
2026-07-27T12:27:00,2753-1-1-0000,The little girl with them just smiled at me and asked if I wanted to pet him.,"What a gentle, uncomplicated kind of kindness to receive right now, no expectations, just warmth. Did you take her up on it?",Emotional Reflection,1,"[0.05, 0.05, 0.04]","[84.0, 82.0, 80.0]","[34.96, 35.03, 35.08]","[0.006, 0.008, 0.007]","['still', 'still', 'still']","[23.0, 25.0, 24.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 0.95]","[56.0, 54.0, 52.0]","[12.0, 14.0, 15.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 6.0]"
2026-07-27T12:30:00,2753-1-1-0000,Yeah... it actually helped. I feel a bit steadier now.,"I'm really glad. Sometimes it takes something small and unplanned, a dog's head on your shoe, a kid's smile, to remind your body it's allowed to relax a little. You're going to be okay tonight.",Positive Reinforcement,1,[0.04],[78.0],[35.13],[0.006],['still'],[23.0],['sedentary'],[1.16],[53.0],[15.0],[0.0],[0.0],[100.0],['sitting_reclining_lying'],['standing'],[26.0],[37.0],[4.0],[3.0],[0.0],[0.0]
